Thread=1
OMP_NUM_THREADS=1 CUDA_API_PER_THREAD_DEFAULT_STREAM=1 ./test
Attention Block,646.666
SelfOutput,111.430
1st Bootstrapping,552.459
LayerNorm1,0.955
2nd Bootstrapping,552.697
Intermediate Linear,487.929
GELU,49.787
Final Linear,501.844
3rd Bootstrapping,552.587
LayerNorm2,0.954
4th Bootstrapping,552.236
Total time for one layer,4009.544
Amortized time,15.662

Thread=4
OMP_NUM_THREADS=4 ./test
Attention Block,458.005
SelfOutput,67.030
1st Bootstrapping,557.787
LayerNorm1,0.993
2nd Bootstrapping,559.656
Intermediate Linear,301.953
GELU,29.670
Final Linear,281.653
3rd Bootstrapping,561.824
LayerNorm2,0.999
4th Bootstrapping,561.912
Total time for one layer,3381.483
Amortized time,13.209

Attention Block,37.704
SelfOutput,68.884
Attention Block,38.739
SelfOutput,72.431
Attention Block,39.017
Attention Block,38.665
Attention Block,49.317
SelfOutput,113.834
1st Bootstrapping,571.694
LayerNorm1,0.978
Attention Block,53.786
Attention Block,47.925
SelfOutput,102.894
Attention Block,48.096
SelfOutput,105.151
Attention Block,56.872
SelfOutput,126.877
1st Bootstrapping,370.399
